Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,14.20,14.53,14.10,14.15,-0.05,-0.35,"455,086",22.75,7.01,...,...,...,-10.73
Ability,ABIL,5.09,5.70,5.09,5.12,0.07,1.44,"153,285",14.55,2.14,...,...,...,16.36
Abraxas Petroleum,AXAS,2.72,2.87,2.70,2.84,0.07,2.53,"926,865",3.27,1.52,...,...,37.72,15.45
Acasti Pharma,ACST,0.58,0.58,0.55,0.56,-0.01,-1.75,"90,774",3.36,0.55,...,...,...,-40.60
Accelerate Diagnostics,AXDX,21.35,22.20,21.25,22.10,0.75,3.51,"118,139",30.35,16.75,...,...,...,-15.65
Acer Therapeutics,ACER,22.66,22.66,20.69,21.73,-0.82,-3.61,"10,581",27.80,7.35,...,...,...,56.90
Achieve Life Sciences,ACHV,3.42,3.50,3.35,3.36,-0.09,-2.61,"172,768",52.68,3.28,...,...,...,-74.99
ACNB,ACNB,34.15,34.85,34.15,34.70,0.30,0.87,"10,313",36.00,24.45,0.92,2.65,19.49,17.43
Adamis Pharmaceuticals,ADMP,3.95,4.00,3.80,3.85,-0.10,-2.53,"336,379",5.85,2.35,...,...,...,-12.50
Adesto Technologies,IOTS,5.75,6.25,5.70,6.20,0.50,8.77,"1,163,392",10.80,4.25,...,...,...,-3.88
ADMA Biologics,ADMA,4.56,5.00,4.51,4.83,0.24,5.23,"302,812",5.70,2.01,...,...,...,50.47
ADOMANI,ADOM,0.70,0.70,0.66,0.66,-0.03,-4.35,"251,932",13.81,0.50,...,...,...,-85.00
Advanced Micro Devices,AMD,16.50,16.88,16.48,16.87,0.29,1.75,"41,369,873",17.34,9.04,...,...,88.79,64.11
Aehr Test Systems,AEHR,2.67,2.74,2.67,2.68,0.01,0.37,"34,100",4.33,2.12,...,...,...,-1.11
Aerpio Pharmaceuticals,ARPO,4.21,4.31,4.15,4.16,-0.03,-0.72,"89,240",6.75,3.29,...,...,...,-12.42
AEterna Zentaris,AEZS,1.91,1.96,1.91,1.94,0.02,1.04,"29,024",3.29,1.02,...,...,38.80,-17.80
