Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,15.95,16.65,15.95,16.50,0.65,4.10,"662,691",22.75,4.55,...,...,...,4.10
Ability,ABIL,2.44,2.44,2.38,2.43,-0.01,-0.41,"3,362",16.60,2.16,...,...,...,-44.77
Abraxas Petroleum,AXAS,2.44,2.54,2.44,2.47,...,...,"1,165,472",3.27,1.45,...,...,32.80,0.41
Acasti Pharma,ACST,0.68,0.68,0.65,0.68,0.01,1.33,"67,270",3.36,0.60,...,...,...,-27.98
Accelerate Diagnostics,AXDX,21.40,22.60,21.30,21.65,0.20,0.93,"233,776",30.45,16.75,...,...,...,-17.37
Acer Therapeutics,ACER,18.87,19.53,18.87,19.25,0.27,1.42,"35,374",22.63,5.70,...,...,...,38.99
Achieve Life Sciences,ACHV,7.73,7.73,7.19,7.40,-0.25,-3.31,"44,739",62.70,7.10,...,...,...,-44.91
ACNB,ACNB,31.95,31.95,31.25,31.25,-0.50,-1.57,"5,486",32.30,24.45,0.92,2.94,17.56,5.75
Adamis Pharmaceuticals,ADMP,4.10,4.25,4.05,4.05,-0.03,-0.61,"274,908",6.45,2.35,...,...,...,-7.95
Adesto Technologies,IOTS,9.40,9.50,9.40,9.50,0.10,1.06,"81,397",9.95,4.00,...,...,...,47.29
ADMA Biologics,ADMA,4.69,5.00,4.65,4.85,0.21,4.53,"576,240",5.70,2.01,...,...,...,51.09
ADOMANI,ADOM,1.38,1.39,1.25,1.28,0.08,6.20,"541,964",18.31,0.50,...,...,...,-70.80
Advanced Micro Devices,AMD,15.84,15.95,15.43,15.85,0.12,0.76,"66,188,303",15.97,9.04,...,...,83.42,54.18
Aehr Test Systems,AEHR,2.84,2.94,2.84,2.90,0.09,3.20,"189,018",4.33,2.12,...,...,...,7.01
AEterna Zentaris,AEZS,2.21,2.26,2.19,2.22,0.01,0.45,"147,864",3.29,0.89,...,...,44.40,-5.93
Aethlon Medical,AEMD,1.30,1.35,1.26,1.32,0.03,2.33,"129,625",3.85,0.79,...,...,...,16.81
Agenus,AGEN,3.00,3.04,2.81,2.87,-0.04,-1.37,"2,377,455",6.19,2.81,...,...,...,-11.96
AGM Group Holdings,AGMH,10.34,13.39,10.27,13.39,3.13,30.51,"190,970",14.99,5.01,...,...,...,...
Airgain,AIRG,8.50,8.50,8.22,8.37,-0.01,-0.12,"29,756",15.00,7.31,...,...,...,-6.90
Air T,AIRT,33.51,33.60,33.46,33.46,-0.69,-2.02,"794",34.83,14.40,...,...,72.74,35.51
Akari Therapeutics ADR,AKTX,1.90,1.94,1.88,1.88,-0.05,-2.59,"17,274",11.95,1.70,...,...,...,-56.58
Akers Biosciences,AKER,0.45,0.45,0.43,0.45,-0.01,-1.57,"2,489,000",1.82,0.12,...,...,...,232.09
Akoustis Technologies,AKTS,6.88,6.88,6.29,6.40,-0.35,-5.19,"109,704",10.18,4.86,...,...,...,2.73
Albireo Pharma,ALBO,35.39,35.45,30.70,32.00,-0.61,-1.87,"172,847",39.87,15.31,...,...,...,25.00
Aldeyra Therapeutics,ALDX,8.45,8.70,8.41,8.60,0.20,2.38,"144,641",11.90,3.90,...,...,...,26.47
Alliance MMA,AMMA,0.36,0.37,0.34,0.35,-0.02,-4.16,"186,912",3.07,0.31,...,...,...,-69.80
Allied Healthcare Products,AHPI,2.55,2.65,2.53,2.53,-0.02,-0.78,"12,729",5.25,1.72,...,...,...,21.05
Alliqua BioMedical,ALQA,1.97,2.09,1.97,2.03,0.03,1.50,"6,504",4.60,1.58,...,...,...,12.15
Alta Mesa Resources,AMR,7.33,7.45,7.21,7.30,-0.01,-0.14,"717,029",10.79,6.35,...,...,...,-26.34
Alta Mesa Resources WT,AMRWW,1.42,1.48,1.42,1.45,-0.00,-0.24,"26,578",2.85,1.03,...,...,...,-2.75
Amedica,AMDA,1.05,1.26,1.04,1.18,0.13,12.38,"2,406,980",6.93,1.02,...,...,...,-63.91
American Electric Technologies,AETI,1.45,1.46,1.30,1.33,-0.07,-5.00,"355,482",2.53,0.62,...,...,...,-11.33
Ameri Holdings,AMRH,1.10,1.23,1.10,1.18,0.03,2.61,"172,494",13.50,0.70,...,...,...,-61.94
Ameri Holdings WT,AMRHW,0.22,0.22,0.20,0.20,...,...,"267",7.58,0.12,...,...,...,-73.86
Ames National,ATLO,30.80,31.10,30.75,30.85,...,...,"4,839",31.90,26.00,0.92,2.98,20.43,10.77
Anavex Life Sciences,AVXL,4.15,4.21,3.88,3.97,-0.11,-2.70,"614,040",5.84,1.85,...,...,...,23.29
Antares Pharma,ATRS,2.77,2.88,2.76,2.85,0.07,2.52,"1,518,698",4.09,1.58,...,...,...,43.22
Anthera Pharmaceuticals,ANTH,0.32,0.40,0.31,0.34,0.05,15.74,"6,980,968",2.97,0.21,...,...,...,-79.59
Apollo Medical Holdings,AMEH,15.63,16.37,15.05,16.08,0.34,2.16,"58,046",30.00,5.50,...,...,...,-33.00
Appliance Recycling Centers of America,ARCI,0.78,0.82,0.78,0.81,-0.02,-1.97,"14,401",1.75,0.52,...,...,1.10,-22.12
Applied DNA Sciences,APDN,1.32,1.35,1.28,1.35,0.03,2.26,"90,947",3.45,0.90,...,...,...,-15.09
Apricus Biosciences,APRI,0.49,0.58,0.42,0.45,0.02,5.29,"10,355,414",3.34,0.25,...,...,...,-75.54
Aptose Biosciences,APTO,4.33,4.39,4.01,4.05,-0.28,-6.47,"830,427",4.39,1.07,...,...,...,80.80
AquaBounty Technologies,AQB,2.95,2.99,2.92,2.92,-0.05,-1.68,"12,369",9.99,2.25,...,...,...,-17.05
Aqua Metals,AQMS,3.05,3.33,3.01,3.27,0.24,7.92,"622,562",13.85,1.42,...,...,...,53.52
Aradigm,ARDM,1.56,1.62,1.55,1.58,0.01,0.63,"20,697",7.35,1.03,...,...,...,-76.42
ARCA biopharma,ABIO,0.55,0.55,0.52,0.53,0.01,2.12,"268,941",2.71,0.45,...,...,...,-60.66
Arcadia Biosciences,RKDA,9.35,9.39,8.61,9.06,-0.96,-9.58,"549,768",66.56,3.60,...,...,...,64.73
ARC Group Worldwide,ARCW,2.40,2.45,2.35,2.45,0.05,2.08,"35,192",3.60,1.80,...,...,...,16.67
Arcimoto,FUV,2.75,2.94,2.75,2.78,0.11,4.12,"102,001",6.35,2.50,...,...,...,-30.67
Art's Way Manufacturing,ARTW,2.83,2.83,2.83,2.83,0.08,2.84,"802",5.45,2.00,0.10,3.54,...,-5.22
Aspen Group,ASPU,7.14,7.41,7.12,7.35,0.17,2.37,"17,954",9.61,5.35,...,...,...,-17.60
Assembly Biosciences,ASMB,43.59,45.88,42.56,45.37,1.61,3.68,"141,159",67.36,18.60,...,...,...,0.27
Astrotech,ASTC,2.05,2.05,1.86,1.92,-0.13,-6.34,"31,737",6.60,1.64,...,...,...,-42.69
Asure Software,ASUR,17.93,18.62,17.93,18.18,0.29,1.62,"74,317",19.78,9.89,...,...,...,28.75
ASV Holdings,ASV,6.00,6.48,6.00,6.20,0.16,2.58,"19,460",10.80,5.97,...,...,44.29,-38.92
Athersys,ATHX,2.47,2.58,2.45,2.46,0.02,0.61,"957,722",3.09,1.29,...,...,...,35.64
Atlantic Acquisition WT,ATACR,0.57,0.57,0.57,0.57,-0.01,-1.43,"10,800",0.66,0.33,...,...,...,-4.72
Atomera,ATOM,5.48,5.50,5.38,5.45,...,0.09,"11,755",8.00,2.45,...,...,...,25.75
Atossa Genetics,ATOS,2.62,2.70,2.60,2.63,-0.01,-0.38,"114,877",19.08,2.60,...,...,...,-16.67
Attis Industries,ATIS,0.46,0.46,0.44,0.45,...,0.09,"155,229",3.63,0.40,...,...,...,-57.60
Attis Industries WT,ATISW,0.09,0.09,0.06,0.06,-0.03,-33.92,"12,600",0.45,0.05,...,...,...,-62.50
