Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,16.60,18.00,16.25,17.90,1.30,7.83,"863,954",22.75,4.55,...,...,...,12.93
Ability,ABIL,2.54,2.55,2.35,2.40,-0.07,-2.83,"20,879",16.90,2.35,...,...,...,-45.45
Abraxas Petroleum,AXAS,2.58,2.77,2.57,2.73,0.12,4.39,"1,403,297",3.27,1.45,...,...,36.32,11.18
Acasti Pharma,ACST,0.71,0.71,0.69,0.69,-0.02,-2.80,"110,122",3.36,0.60,...,...,...,-26.80
Accelerate Diagnostics,AXDX,20.05,20.20,19.65,20.20,0.02,0.12,"153,497",30.45,16.75,...,...,...,-22.90
Acer Therapeutics,ACER,18.06,18.24,17.78,17.78,-0.43,-2.39,"7,614",22.63,5.70,...,...,...,28.38
Achieve Life Sciences,ACHV,9.85,9.85,9.13,9.14,-0.83,-8.32,"14,779",62.70,8.87,...,...,...,-31.96
ACNB,ACNB,31.30,31.90,31.30,31.90,0.60,1.92,"3,657",32.10,24.45,0.92,2.88,17.92,7.95
Adamis Pharmaceuticals,ADMP,4.30,4.36,4.20,4.30,-0.05,-1.15,"290,083",6.45,2.35,...,...,...,-2.27
Adesto Technologies,IOTS,9.05,9.40,9.05,9.30,0.25,2.76,"264,838",9.95,4.00,...,...,...,44.19
ADMA Biologics,ADMA,5.31,5.40,4.76,5.01,-0.28,-5.29,"185,710",5.70,2.01,...,...,...,56.07
ADOMANI,ADOM,1.60,1.75,1.38,1.74,0.10,6.10,"4,046,550",18.31,0.50,...,...,...,-60.45
Advanced Micro Devices,AMD,13.45,13.63,13.26,13.36,-0.18,-1.33,"38,940,253",15.65,9.04,...,...,70.32,29.96
Advaxis WT,ADXSW,0.30,0.30,0.28,0.28,-0.04,-12.70,"1,300",4.84,0.20,...,...,...,-72.50
Aehr Test Systems,AEHR,2.45,2.68,2.43,2.59,0.14,5.71,"199,776",4.82,2.12,...,...,...,-4.43
AEterna Zentaris,AEZS,2.15,2.48,2.10,2.44,0.28,12.96,"1,193,238",3.29,0.89,...,...,48.80,3.39
Aethlon Medical,AEMD,1.26,1.26,1.20,1.22,0.01,0.83,"44,302",3.85,0.79,...,...,...,7.96
Agenus,AGEN,3.49,3.53,3.35,3.39,-0.10,-2.87,"1,117,779",6.19,3.06,...,...,...,3.99
AGM Group Holdings,AGMH,9.90,10.60,9.66,10.04,0.07,0.70,"81,512",14.99,5.01,...,...,...,...
Airgain,AIRG,8.15,8.15,7.96,8.05,-0.13,-1.59,"17,780",15.54,7.31,...,...,...,-10.46
Air T,AIRT,32.10,32.60,32.10,32.60,...,...,"827",34.83,14.40,...,...,70.87,32.03
Akari Therapeutics ADR,AKTX,1.86,1.88,1.84,1.86,-0.02,-1.06,"10,983",11.95,1.70,...,...,...,-57.04
Akers Biosciences,AKER,0.48,0.48,0.35,0.39,-0.20,-33.58,"18,633,657",1.82,0.12,...,...,...,191.94
Akoustis Technologies,AKTS,6.59,6.79,6.50,6.60,-0.03,-0.45,"60,543",10.80,4.86,...,...,...,5.94
Albireo Pharma,ALBO,32.34,32.90,32.05,32.05,-0.56,-1.72,"27,424",39.87,15.31,...,...,...,25.20
Aldeyra Therapeutics,ALDX,8.60,8.60,8.15,8.25,-0.40,-4.62,"62,873",11.90,3.90,...,...,...,21.32
Alliance MMA,AMMA,0.52,0.52,0.40,0.44,-0.04,-8.33,"540,371",3.07,0.31,...,...,...,-62.07
Allied Healthcare Products,AHPI,2.42,2.60,2.42,2.48,0.06,2.48,"2,308",5.25,1.72,...,...,...,18.66
Alliqua BioMedical,ALQA,2.07,2.10,1.88,2.04,-0.02,-0.97,"12,806",4.60,1.58,...,...,...,12.71
