Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.82,3.92,3.40,3.50,-0.39,-10.03,"271,203",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,9.27,9.42,8.85,8.94,-0.31,-3.35,"330,201",22.00,8.52,...,...,...,-43.60
Ability,ABIL,3.10,3.73,3.02,3.44,0.34,10.97,"328,619",14.55,2.14,...,...,...,-21.82
Abraxas Petroleum,AXAS,1.81,1.84,1.79,1.80,...,...,"872,168",3.27,1.76,...,...,...,-26.83
Acasti Pharma,ACST,1.03,1.04,0.98,1.01,-0.04,-3.81,"577,828",3.36,0.43,...,...,...,7.13
Accelerate Diagnostics,AXDX,16.00,16.63,15.88,16.30,0.29,1.81,"262,636",30.35,14.20,...,...,...,-37.79
Acer Therapeutics,ACER,25.35,25.35,23.72,24.18,-1.11,-4.39,"9,442",34.10,11.36,...,...,...,74.58
Achieve Life Sciences,ACHV,2.16,2.21,2.05,2.16,-0.02,-0.92,"47,159",32.00,1.85,...,...,...,-83.92
ACNB,ACNB,39.25,40.70,39.10,40.39,1.84,4.77,"7,960",41.45,26.80,0.92,2.28,14.97,36.68
Adamis Pharmaceuticals,ADMP,2.85,2.86,2.71,2.82,-0.04,-1.40,"194,083",5.15,2.20,...,...,...,-35.91
Adesto Technologies,IOTS,4.54,4.64,4.36,4.49,...,...,"193,368",10.80,3.51,...,...,...,-30.39
ADial Pharmaceuticals,ADIL,2.12,2.12,1.70,1.70,-0.23,-11.92,"47,691",4.40,1.70,...,...,...,...
ADMA Biologics,ADMA,5.60,5.65,5.46,5.49,-0.11,-1.96,"106,171",6.96,2.03,...,...,...,71.03
ADOMANI,ADOM,0.60,0.71,0.50,0.53,-0.09,-15.13,"3,691,564",6.73,0.35,...,...,...,-88.04
Aehr Test Systems,AEHR,2.03,2.03,1.99,1.99,-0.01,-0.50,"13,001",3.57,1.80,...,...,...,-26.57
Aerpio Pharmaceuticals,ARPO,2.05,2.17,1.88,2.13,0.08,3.90,"50,352",6.00,1.85,...,...,...,-55.16
AEterna Zentaris,AEZS,2.30,2.49,2.28,2.37,...,...,"486,941",3.25,1.12,...,...,33.86,0.42
Aethlon Medical,AEMD,1.16,1.19,1.15,1.17,0.05,4.46,"69,758",2.04,0.79,...,...,...,3.54
Agenus,AGEN,1.80,1.99,1.75,1.94,0.06,3.19,"1,252,596",6.19,1.54,...,...,...,-40.49
AGM Group Holdings,AGMH,30.51,30.51,25.50,25.77,-5.46,-17.48,"4,121",52.00,5.01,...,...,...,...
Airgain,AIRG,13.68,13.91,13.57,13.85,0.18,1.32,"46,743",14.17,7.31,...,...,...,54.06
Air T,AIRT,37.25,38.28,35.01,36.20,-2.76,-7.08,"5,035",44.29,19.40,...,...,17.92,46.61
Akari Therapeutics ADR,AKTX,1.83,1.90,1.81,1.82,-0.03,-1.62,"19,658",5.49,1.62,...,...,...,-57.97
Akers Biosciences,AKER,0.34,0.40,0.34,0.40,0.05,14.00,"4,383,657",0.98,0.12,...,...,...,194.78
Akoustis Technologies,AKTS,3.95,4.74,3.40,4.45,0.70,18.67,"2,157,021",9.50,3.40,...,...,...,-28.57
Alberton Acquisition Un,ALACU,10.07,10.50,10.07,10.07,0.01,0.10,"91,735",10.50,10.00,...,...,...,...
Albireo Pharma,ALBO,29.39,29.39,27.30,27.85,-1.21,-4.16,"23,029",39.87,21.25,...,...,...,8.79
Aldeyra Therapeutics,ALDX,10.72,10.77,10.17,10.42,-0.31,-2.89,"116,342",16.70,5.55,...,...,...,53.24
Alithya Group Cl A,ALYA,5.50,5.50,4.91,5.00,-0.32,-6.02,"22,727",6.00,4.19,...,...,...,...
Allegro Merger,ALGRU,10.20,10.30,10.20,10.30,...,...,"423",10.40,10.04,...,...,...,...
Allegro Merger,ALGR,9.61,9.62,9.61,9.62,...,...,"8,000",9.63,9.02,...,...,...,...
Allegro Merger WT,ALGRW,0.36,0.36,0.36,0.36,...,...,"6,000",1.00,0.28,...,...,...,...
Alliance MMA,AMMA,0.28,0.33,0.27,0.31,0.04,15.34,"1,552,469",1.77,0.15,...,...,...,-72.84
Allied Healthcare Products,AHPI,2.09,2.18,2.06,2.06,-0.05,-2.37,"2,549",5.25,1.72,...,...,...,-1.44
Alliqua BioMedical,ALQA,1.67,1.69,1.67,1.69,0.03,1.81,"7,673",3.60,1.55,...,...,...,-6.62
Alta Mesa Resources,AMR,3.34,3.36,3.23,3.29,-0.02,-0.60,"1,119,688",10.79,2.80,...,...,...,-66.80
Alta Mesa Resources WT,AMRWW,0.39,0.43,0.36,0.39,-0.01,-2.50,"87,649",2.85,0.28,...,...,...,-73.83
American Electric Technologies,AETI,0.62,0.64,0.61,0.61,-0.01,-1.58,"33,936",2.53,0.55,...,...,...,-59.32
Ameri Holdings,AMRH,0.30,0.33,0.30,0.32,0.01,2.58,"1,443,496",13.50,0.24,...,...,...,-89.74
Ames National,ATLO,27.00,27.44,27.00,27.20,0.07,0.26,"2,784",32.15,26.00,0.92,3.38,16.39,-2.33
Anavex Life Sciences,AVXL,2.42,2.52,2.41,2.48,0.06,2.27,"99,236",4.35,1.85,...,...,...,-23.14
Anixa Biosciences,ANIX,3.93,3.95,3.76,3.80,-0.12,-3.06,"79,518",6.86,2.18,...,...,...,61.02
Antares Pharma,ATRS,3.55,3.78,3.43,3.61,0.12,3.44,"2,392,282",3.93,1.58,...,...,...,81.41
Apollo Medical Holdings,AMEH,19.95,20.42,19.36,19.70,-0.12,-0.61,"12,829",30.00,5.50,...,...,29.85,-17.92
Appliance Recycling Centers of America,ARCI,0.75,0.75,0.71,0.73,0.02,2.76,"16,118",1.68,0.59,...,...,1.37,-29.85
Applied DNA Sciences,APDN,1.13,1.15,1.06,1.13,0.02,1.80,"149,244",2.80,1.06,...,...,...,-28.93
