Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.88,3.88,3.52,3.69,-0.17,-4.40,"70,888",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,10.34,10.62,10.31,10.45,0.24,2.35,"772,086",22.00,9.66,...,...,...,-34.07
Abeona Therapeutics WT,ABEOW,5.87,6.04,5.86,6.04,0.63,11.74,"3,149",16.00,5.10,...,...,...,-47.89
Ability,ABIL,3.04,3.25,2.92,3.22,0.27,9.15,"73,512",14.55,2.14,...,...,...,-26.82
Abraxas Petroleum,AXAS,2.19,2.25,2.19,2.25,0.05,2.27,"633,474",3.27,1.89,...,...,...,-8.54
Acasti Pharma,ACST,1.18,1.23,1.15,1.18,...,...,"725,597",3.36,0.43,...,...,...,25.16
Accelerate Diagnostics,AXDX,16.27,17.05,15.96,17.00,0.88,5.46,"335,513",30.35,15.77,...,...,...,-35.11
Acer Therapeutics,ACER,25.68,28.50,24.83,25.30,0.05,0.20,"21,968",34.10,11.36,...,...,...,82.67
Achieve Life Sciences,ACHV,2.31,2.50,2.28,2.45,0.15,6.29,"383,702",38.45,2.12,...,...,...,-81.76
ACNB,ACNB,36.84,38.80,36.57,38.68,2.73,7.59,"9,535",41.45,26.80,0.92,2.38,18.33,30.90
Adamis Pharmaceuticals,ADMP,2.80,2.95,2.75,2.90,0.11,3.94,"319,940",5.85,2.20,...,...,...,-34.09
Adesto Technologies,IOTS,4.66,4.75,4.50,4.53,-0.05,-1.09,"424,236",10.80,4.42,...,...,...,-29.77
ADial Pharmaceuticals,ADIL,2.62,2.62,2.56,2.56,...,...,"7,605",4.40,2.51,...,...,...,...
ADMA Biologics,ADMA,5.38,5.41,5.14,5.29,-0.07,-1.31,"181,900",6.96,2.01,...,...,...,64.80
ADOMANI,ADOM,0.51,0.58,0.51,0.53,0.03,5.30,"530,097",6.73,0.45,...,...,...,-87.95
Aehr Test Systems,AEHR,2.15,2.22,2.14,2.20,0.07,3.29,"76,372",3.95,1.80,...,...,...,-18.82
Aerpio Pharmaceuticals,ARPO,2.56,2.58,2.25,2.30,-0.22,-8.73,"143,378",6.10,2.25,...,...,...,-51.58
AEterna Zentaris,AEZS,1.52,1.62,1.47,1.54,0.02,1.32,"43,833",3.25,1.12,...,...,22.00,-34.75
Aethlon Medical,AEMD,1.14,1.17,1.14,1.15,0.01,0.88,"66,348",2.04,0.79,...,...,...,1.77
Agenus,AGEN,2.00,2.01,1.90,1.98,...,...,"1,715,631",6.19,1.55,...,...,...,-39.26
AGM Group Holdings,AGMH,39.95,40.00,34.55,38.87,1.43,3.83,"12,110",52.00,5.01,...,...,...,...
Airgain,AIRG,12.90,13.01,12.70,12.96,0.13,1.01,"53,869",13.87,7.31,...,...,...,44.16
Air T,AIRT,42.51,42.79,39.46,40.36,-1.83,-4.33,"6,212",44.29,17.65,...,...,19.98,63.46
Akari Therapeutics ADR,AKTX,1.74,1.87,1.70,1.76,-0.02,-1.12,"48,473",6.74,1.70,...,...,...,-59.35
Akers Biosciences,AKER,0.38,0.38,0.34,0.35,-0.02,-4.86,"3,663,032",1.08,0.12,...,...,...,162.69
Akoustis Technologies,AKTS,5.80,6.04,5.76,5.82,0.12,2.11,"232,889",9.50,4.86,...,...,...,-6.58
Albireo Pharma,ALBO,28.40,30.00,27.64,28.38,0.20,0.71,"44,531",39.87,21.25,...,...,...,10.86
Aldeyra Therapeutics,ALDX,12.44,13.32,12.19,12.93,0.53,4.27,"247,203",16.70,5.55,...,...,...,90.15
Allegro Merger WT,ALGRW,0.39,0.40,0.37,0.37,-0.03,-7.50,"320,300",1.00,0.28,...,...,...,...
Alliance MMA,AMMA,0.28,0.28,0.27,0.28,-0.00,-0.53,"187,587",1.87,0.15,...,...,...,-75.65
Allied Healthcare Products,AHPI,2.09,2.09,2.03,2.09,0.02,0.97,"2,548",5.25,1.72,...,...,...,...
Alliqua BioMedical,ALQA,2.31,2.33,2.14,2.15,-0.18,-7.73,"13,055",3.85,1.58,...,...,...,18.78
Alta Mesa Resources,AMR,3.71,3.83,3.68,3.75,0.05,1.35,"880,209",10.79,3.65,...,...,...,-62.16
Alta Mesa Resources WT,AMRWW,0.47,0.48,0.44,0.48,0.04,9.09,"22,401",2.85,0.40,...,...,...,-67.79
Amedica,AMDA,0.39,0.39,0.32,0.34,-0.04,-11.62,"2,843,651",6.93,0.18,...,...,...,-89.61
American Electric Technologies,AETI,0.69,0.75,0.65,0.69,-0.00,-0.27,"101,852",2.53,0.62,...,...,...,-54.00
Ameri Holdings,AMRH,1.15,1.19,1.00,1.11,-0.03,-2.63,"137,535",13.50,0.70,...,...,...,-64.19
Ameri Holdings WT,AMRHW,0.17,0.17,0.17,0.17,...,...,"1,100",7.58,0.12,...,...,...,-77.76
Ames National,ATLO,27.59,28.15,27.48,27.72,0.27,0.98,"6,899",32.15,26.00,0.92,3.32,17.32,-0.47
Anavex Life Sciences,AVXL,2.59,2.62,2.50,2.52,-0.06,-2.33,"106,667",5.15,1.85,...,...,...,-21.74
Anixa Biosciences,ANIX,6.40,6.43,5.50,6.35,0.02,0.32,"361,892",6.43,1.83,...,...,...,169.07
Antares Pharma,ATRS,3.34,3.55,3.33,3.53,0.20,6.01,"1,050,871",3.93,1.58,...,...,...,77.39
Apollo Medical Holdings,AMEH,18.11,19.00,17.95,18.59,0.50,2.76,"36,479",30.00,5.50,...,...,...,-22.54
Appliance Recycling Centers of America,ARCI,0.80,0.81,0.75,0.75,-0.01,-0.95,"94,762",1.68,0.59,...,...,1.41,-27.62
Applied DNA Sciences,APDN,1.46,1.50,1.32,1.39,-0.08,-5.44,"112,573",2.80,1.10,...,...,...,-12.58
Applied DNA Sciences WT,APDNW,0.15,0.18,0.15,0.18,-0.02,-9.95,"600",0.80,0.12,...,...,...,-50.00
Apricus Biosciences,APRI,0.31,0.34,0.31,0.33,0.02,5.92,"460,663",3.34,0.25,...,...,...,-82.15
Aptose Biosciences,APTO,2.44,2.61,2.37,2.49,0.12,5.06,"268,491",4.55,1.30,...,...,...,11.16
AquaBounty Technologies,AQB,2.89,2.99,2.88,2.95,-0.03,-1.01,"3,745",9.99,2.25,...,...,...,-16.19
Aqua Metals,AQMS,2.73,2.80,2.68,2.71,-0.04,-1.45,"193,170",5.51,1.42,...,...,...,27.23
Aradigm,ARDM,1.32,1.32,1.18,1.21,-0.10,-7.63,"138,254",7.35,1.03,...,...,...,-81.94
