Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,19.60,20.25,19.40,19.80,0.50,2.59,"1,171,149",22.75,4.55,...,...,...,24.92
Abeona Therapeutics WT,ABEOW,14.85,14.95,14.85,14.95,0.20,1.36,"3,099",17.56,2.50,...,...,...,28.88
Ability,ABIL,3.11,3.23,3.01,3.13,0.02,0.64,"3,770",16.90,2.37,...,...,...,-28.86
Abraxas Petroleum,AXAS,2.85,2.95,2.85,2.91,0.12,4.30,"4,077,364",2.95,1.45,...,...,27.64,18.29
Acasti Pharma,ACST,1.09,1.11,1.07,1.08,-0.02,-1.82,"114,646",3.36,0.84,...,...,...,14.55
Accelerate Diagnostics,AXDX,24.70,25.25,24.55,24.95,0.25,1.01,"199,688",30.45,16.75,...,...,...,-4.77
Acer Therapeutics,ACER,19.02,19.72,18.54,19.06,0.06,0.32,"7,766",22.63,5.70,...,...,...,37.62
Achieve Life Sciences,ACHV,1.32,1.39,1.32,1.33,...,...,"23,805",6.27,1.15,...,...,...,-0.99
ACNB,ACNB,29.45,29.50,29.35,29.45,0.20,0.68,"3,039",31.60,24.45,0.92,3.12,19.50,-0.34
Adamis Pharmaceuticals,ADMP,3.80,3.95,3.70,3.80,0.05,1.33,"677,587",6.45,2.35,...,...,...,-13.64
Adesto Technologies,IOTS,9.05,9.10,8.75,8.95,-0.05,-0.56,"123,545",9.20,4.00,...,...,...,38.76
ADMA Biologics,ADMA,4.82,5.12,4.70,4.72,-0.13,-2.68,"110,187",5.50,2.01,...,...,...,47.04
ADOMANI,ADOM,0.83,0.83,0.79,0.79,-0.05,-5.73,"71,575",18.31,0.79,...,...,...,-82.05
Advanced Micro Devices,AMD,10.51,10.65,10.33,10.36,-0.16,-1.52,"40,961,734",15.65,9.04,...,...,345.33,0.78
Aehr Test Systems,AEHR,2.58,2.60,2.45,2.57,0.02,0.78,"94,079",4.99,2.12,...,...,...,-5.17
AEterna Zentaris,AEZS,1.45,1.52,1.41,1.48,0.05,3.50,"108,830",3.75,0.78,...,...,...,-37.29
Aethlon Medical,AEMD,1.37,1.38,1.28,1.35,-0.04,-2.88,"96,568",3.85,0.79,...,...,...,19.47
Agenus,AGEN,4.08,4.13,3.94,3.95,-0.14,-3.42,"1,229,386",6.19,3.24,...,...,...,21.17
AGM Group Holdings,AGMH,5.50,7.50,5.01,6.30,1.30,26.00,"291,257",...,...,...,...,...,...
Airgain,AIRG,8.79,8.80,8.22,8.39,-0.26,-3.01,"31,868",16.23,7.31,...,...,76.27,-6.67
Air T,AIRT,25.20,25.20,25.17,25.20,0.08,0.34,"1,632",34.83,14.40,...,...,54.78,2.06
Akari Therapeutics ADR,AKTX,2.10,2.10,2.00,2.02,-0.04,-2.17,"47,100",21.86,1.70,...,...,...,-53.46
Akers Biosciences,AKER,0.53,0.58,0.51,0.56,0.02,3.82,"7,039,536",2.10,0.12,...,...,...,314.25
Akoustis Technologies,AKTS,5.35,5.37,5.19,5.31,0.02,0.38,"82,866",11.40,4.86,...,...,...,-14.77
Albireo Pharma,ALBO,33.01,34.00,32.50,33.05,0.10,0.30,"40,898",39.87,15.31,...,...,...,29.10
Aldeyra Therapeutics,ALDX,7.10,7.25,7.05,7.15,0.10,1.42,"38,083",11.90,3.80,...,...,...,5.15
Alliance MMA,AMMA,0.43,0.45,0.42,0.42,-0.02,-5.04,"42,071",3.07,0.40,...,...,...,-63.79
Allied Healthcare Products,AHPI,2.77,2.77,2.54,2.69,-0.05,-1.82,"18,684",5.25,1.53,...,...,...,28.71
Alliqua BioMedical,ALQA,2.39,2.39,2.27,2.32,-0.06,-2.52,"21,212",4.60,1.58,...,...,...,28.18
Alta Mesa Resources,AMR,7.41,7.74,7.34,7.70,0.44,6.06,"1,097,320",10.79,6.79,...,...,350.00,-22.30
Alta Mesa Resources WT,AMRWW,1.54,1.61,1.45,1.60,0.11,7.38,"173,805",2.85,1.03,...,...,...,7.38
Amedica,AMDA,1.50,1.57,1.43,1.47,-0.01,-0.49,"28,339",6.93,1.25,...,...,...,-54.99
American Electric Technologies,AETI,0.80,0.95,0.80,0.82,...,0.12,"214,279",2.80,0.74,...,...,...,-45.27
Ameri Holdings,AMRH,1.38,1.48,1.36,1.41,-0.08,-5.37,"38,794",13.50,1.27,...,...,...,-54.52
Ames National,ATLO,28.10,28.25,27.80,27.85,-0.40,-1.42,"4,958",32.00,26.00,0.92,3.30,18.44,...
Anavex Life Sciences,AVXL,2.13,2.18,2.08,2.17,0.08,3.83,"261,917",6.27,1.85,...,...,...,-32.61
Antares Pharma,ATRS,2.43,2.52,2.40,2.45,0.04,1.66,"645,408",4.09,1.58,...,...,...,23.12
Anthera Pharmaceuticals,ANTH,0.34,0.34,0.32,0.33,-0.00,-0.15,"264,559",3.39,0.30,...,...,...,-79.93
Apollo Medical Holdings,AMEH,13.55,14.35,13.55,13.98,0.48,3.56,"3,137",30.00,5.50,...,...,...,-41.75
Appliance Recycling Centers of America,ARCI,0.86,0.86,0.83,0.83,...,0.44,"29,552",1.75,0.52,...,...,1.13,-20.19
Applied DNA Sciences,APDN,1.48,1.52,1.43,1.47,0.01,0.68,"26,476",3.45,0.90,...,...,...,-7.55
Apricus Biosciences,APRI,0.29,0.29,0.27,0.28,...,0.04,"1,150,999",3.34,0.26,...,...,...,-84.77
Aptose Biosciences,APTO,3.55,3.65,3.46,3.57,0.02,0.56,"243,297",3.97,0.78,...,...,...,59.38
AquaBounty Technologies,AQB,3.14,3.22,3.05,3.10,-0.04,-1.27,"19,476",9.99,2.25,...,...,...,-11.93
Aqua Metals,AQMS,2.30,2.62,2.30,2.60,0.32,14.04,"585,441",18.70,1.42,...,...,...,22.07
Aradigm,ARDM,1.95,2.00,1.59,1.71,-0.20,-10.47,"472,901",7.35,0.78,...,...,...,-74.48
ARCA biopharma,ABIO,0.55,0.65,0.53,0.61,0.07,12.55,"1,744,838",2.76,0.45,...,...,...,-54.81
Arcadia Biosciences,RKDA,26.40,26.98,24.08,25.72,-0.60,-2.28,"83,786",66.56,3.60,...,...,...,367.64
