Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.14,3.25,3.14,3.15,...,...,"37,426",4.49,2.63,...,...,...,...
Abeona Therapeutics,ABEO,14.15,14.55,13.95,14.30,0.10,0.70,"388,879",22.75,7.97,...,...,...,-9.78
Ability,ABIL,4.40,4.40,4.19,4.21,-0.13,-3.00,"107,345",14.55,2.14,...,...,...,-4.32
Abraxas Petroleum,AXAS,2.29,2.31,2.24,2.26,-0.01,-0.44,"1,135,714",3.27,1.59,...,...,...,-8.13
Acasti Pharma,ACST,0.49,0.50,0.46,0.48,-0.01,-2.34,"89,291",3.36,0.43,...,...,...,-49.50
Accelerate Diagnostics,AXDX,22.70,23.45,22.60,23.30,0.65,2.87,"225,211",30.35,16.75,...,...,...,-11.07
Acer Therapeutics,ACER,31.05,34.10,30.05,32.83,2.05,6.66,"116,406",34.10,8.28,...,...,...,137.04
Achieve Life Sciences,ACHV,3.28,3.31,3.19,3.21,-0.03,-1.04,"42,713",42.00,2.67,...,...,...,-76.13
ACNB,ACNB,34.80,35.14,34.70,34.70,0.15,0.43,"5,918",36.00,26.00,0.92,2.65,16.45,17.43
Adamis Pharmaceuticals,ADMP,2.25,2.75,2.25,2.75,0.50,22.22,"1,576,399",5.85,2.20,...,...,...,-37.50
Adesto Technologies,IOTS,5.65,5.75,5.55,5.70,0.05,0.88,"335,242",10.80,4.70,...,...,...,-11.63
ADial Pharmaceuticals,ADIL,3.65,3.65,3.60,3.60,-0.11,-2.92,"4,065",4.40,3.00,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.41,0.41,0.31,0.40,-0.04,-9.09,"3,850",0.75,0.30,...,...,...,...
ADMA Biologics,ADMA,5.66,5.69,5.50,5.59,-0.06,-1.06,"163,954",6.86,2.01,...,...,...,74.14
ADOMANI,ADOM,0.70,0.72,0.68,0.70,-0.02,-2.10,"449,627",13.81,0.50,...,...,...,-84.09
Advanced Micro Devices,AMD,20.28,20.92,20.21,20.90,0.50,2.45,"61,475,549",20.92,9.04,...,...,65.31,103.31
Aehr Test Systems,AEHR,2.50,2.54,2.46,2.49,0.01,0.20,"24,754",4.10,2.12,...,...,...,-8.12
Aerpio Pharmaceuticals,ARPO,3.70,3.85,3.65,3.79,0.04,1.07,"43,947",6.75,3.29,...,...,...,-20.21
AEterna Zentaris,AEZS,1.79,1.85,1.77,1.83,0.06,3.39,"40,223",3.25,1.12,...,...,26.14,-22.46
Aethlon Medical,AEMD,1.09,1.10,1.09,1.10,0.01,0.92,"35,546",3.85,0.79,...,...,...,-2.65
Agenus,AGEN,1.86,2.18,1.86,2.06,0.18,9.57,"5,599,723",6.19,1.55,...,...,...,-36.81
AGM Group Holdings,AGMH,18.80,21.53,17.99,20.00,1.19,6.33,"39,378",37.63,5.01,...,...,...,...
