Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.50,3.65,3.50,3.59,0.06,1.70,"40,056",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,8.00,8.53,8.00,8.28,0.31,3.89,"567,999",22.00,6.94,...,...,...,-47.76
Ability,ABIL,2.62,2.74,2.26,2.45,0.06,2.51,"3,199,561",14.55,2.14,...,...,...,-44.32
Abraxas Petroleum,AXAS,1.49,1.58,1.48,1.51,0.05,3.42,"1,285,413",3.27,1.42,...,...,...,-38.62
Acasti Pharma,ACST,0.66,0.73,0.65,0.72,0.07,10.63,"735,131",1.80,0.43,...,...,...,-23.62
Accelerate Diagnostics,AXDX,13.90,14.55,13.90,14.06,0.37,2.70,"201,733",30.35,12.70,...,...,...,-46.34
Acer Therapeutics,ACER,20.00,21.16,19.25,20.44,0.62,3.13,"23,891",34.10,11.36,...,...,...,47.58
Achieve Life Sciences,ACHV,1.42,1.50,1.40,1.41,-0.02,-1.40,"37,457",32.00,1.40,...,...,...,-89.50
ACNB,ACNB,36.75,37.58,36.24,37.29,1.19,3.30,"11,937",41.45,27.30,0.92,2.47,13.82,26.19
Adamis Pharmaceuticals,ADMP,2.93,2.99,2.87,2.91,-0.02,-0.68,"246,395",5.10,2.20,...,...,...,-33.86
Adesto Technologies,IOTS,4.94,5.00,4.86,4.91,0.07,1.45,"93,869",10.80,3.51,...,...,...,-23.88
ADial Pharmaceuticals,ADIL,2.02,2.25,1.85,2.03,0.07,3.57,"274,891",5.00,1.11,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.30,0.30,0.30,0.30,-0.04,-11.30,"3,640",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,4.79,4.87,4.70,4.75,-0.02,-0.42,"71,901",6.96,2.42,...,...,...,47.98
ADOMANI,ADOM,0.38,0.40,0.38,0.39,0.01,2.67,"235,665",6.73,0.35,...,...,...,-91.25
Aehr Test Systems,AEHR,1.73,1.75,1.66,1.71,-0.02,-1.16,"54,030",3.37,1.66,...,...,...,-36.90
Aerpio Pharmaceuticals,ARPO,2.07,2.12,2.00,2.01,-0.01,-0.50,"49,938",5.25,1.75,...,...,...,-57.68
AEterna Zentaris,AEZS,3.34,3.36,3.24,3.30,...,...,"228,016",3.92,1.12,...,...,6.26,39.83
Aethlon Medical,AEMD,1.27,1.33,1.24,1.30,0.03,2.36,"104,126",2.04,0.82,...,...,...,15.04
Agenus,AGEN,2.64,2.79,2.63,2.66,0.04,1.53,"1,056,534",6.19,1.54,...,...,...,-18.40
AGM Group Holdings,AGMH,37.49,37.49,35.00,35.00,-2.50,-6.67,"3,605",52.00,5.01,...,...,...,...
Airgain,AIRG,11.28,11.68,11.17,11.48,0.21,1.86,"39,911",14.17,7.40,...,...,...,27.70
AirMedia Group ADR,AMCN,0.23,0.28,0.22,0.24,0.01,3.71,"287,605",1.95,0.20,...,...,...,-79.12
Air T,AIRT,28.01,28.54,27.96,28.54,1.04,3.78,"3,961",44.29,23.00,...,...,24.53,15.58
Akari Therapeutics ADR,AKTX,1.81,1.86,1.75,1.80,-0.02,-0.84,"10,984",4.89,1.62,...,...,...,-58.43
Akers Biosciences,AKER,1.29,1.29,1.24,1.25,...,...,"177,330",7.84,0.98,...,...,...,16.60
Akoustis Technologies,AKTS,5.38,5.58,5.34,5.53,0.14,2.60,"168,555",9.50,3.40,...,...,...,-11.24
Alberton Acquisition Cl A,ALAC,9.75,9.75,9.75,9.75,...,...,"400,000",10.50,9.65,...,...,...,...
Alberton Acquisition Un,ALACU,10.03,10.03,10.03,10.03,-0.00,-0.03,"3,700",10.50,9.59,...,...,...,...
Alberton Acquisition WT,ALACW,0.10,0.10,0.10,0.10,0.01,9.89,"200",0.20,0.08,...,...,...,...
Albireo Pharma,ALBO,25.79,26.58,24.87,25.50,-0.03,-0.12,"32,502",39.87,22.95,...,...,...,-0.39
Aldeyra Therapeutics,ALDX,9.61,9.88,9.54,9.74,0.25,2.63,"148,452",16.70,6.20,...,...,...,43.24
Alithya Group Cl A,ALYA,3.64,3.77,3.60,3.75,0.01,0.27,"20,659",6.00,3.32,...,...,...,...
Alkaline Water,WTER,5.12,5.15,4.68,4.86,-0.04,-0.82,"256,114",5.56,4.68,...,...,...,137.07
Allegro Merger,ALGR,9.77,9.80,9.75,9.75,-0.03,-0.31,"113,400",9.80,9.02,...,...,...,...
Allegro Merger,ALGRU,10.30,10.30,10.30,10.30,...,...,"100",10.40,10.04,...,...,...,...
Allegro Merger WT,ALGRW,0.33,0.36,0.33,0.36,0.01,2.86,"700",1.00,0.24,...,...,...,...
Alliance MMA,AMMA,0.21,0.22,0.20,0.21,...,0.05,"100,070",1.54,0.15,...,...,...,-82.06
Allied Healthcare Products,AHPI,1.97,1.97,1.97,1.97,-0.01,-0.51,"507",5.25,1.72,...,...,...,-5.74
