Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.55,3.60,3.53,3.58,0.06,1.70,"40,387",5.33,2.63,...,...,...,1.70
Abeona Therapeutics,ABEO,7.00,7.18,6.81,7.03,-0.11,-1.54,"388,693",22.00,6.26,...,...,...,-1.54
Abeona Therapeutics WT,ABEOW,3.46,3.46,3.45,3.45,0.35,11.17,"1,100",16.00,2.46,...,...,...,11.17
Ability,ABIL,1.83,1.99,1.81,1.95,0.05,2.63,"300,505",14.55,1.54,...,...,...,2.63
Abraxas Petroleum,AXAS,1.08,1.35,1.05,1.29,0.20,18.35,"1,657,069",3.27,0.90,...,...,...,18.35
Acasti Pharma,ACST,0.83,0.96,0.81,0.90,0.07,8.19,"767,115",1.80,0.43,...,...,...,8.19
Accelerate Diagnostics,AXDX,11.40,11.97,11.22,11.89,0.39,3.39,"210,208",30.35,10.23,...,...,...,3.39
Acer Therapeutics,ACER,19.92,21.95,19.90,21.45,1.33,6.61,"47,657",34.10,14.76,...,...,...,6.61
Achieve Life Sciences,ACHV,1.26,1.36,1.25,1.28,0.07,5.79,"113,455",32.00,1.04,...,...,...,5.79
ACNB,ACNB,39.25,39.25,38.27,38.65,-0.60,-1.53,"6,827",41.45,27.30,0.92,2.38,14.33,-1.53
Adamis Pharmaceuticals,ADMP,2.25,2.49,2.23,2.39,0.14,6.22,"411,739",5.10,2.01,...,...,...,6.22
Adesto Technologies,IOTS,4.28,4.69,4.28,4.66,0.26,5.91,"140,235",10.80,3.51,...,...,...,5.91
ADial Pharmaceuticals,ADIL,4.94,6.50,4.65,6.50,1.38,26.95,"981,490",7.45,1.11,...,...,...,26.95
ADial Pharmaceuticals WT,ADILW,0.74,0.74,0.74,0.74,0.19,34.53,"100",0.95,0.26,...,...,...,34.53
ADMA Biologics,ADMA,2.38,2.68,2.34,2.62,0.23,9.62,"260,103",6.96,2.08,...,...,...,9.62
ADOMANI,ADOM,0.29,0.32,0.27,0.31,0.04,13.31,"145,176",5.14,0.16,...,...,...,13.31
Aehr Test Systems,AEHR,1.42,1.55,1.36,1.54,0.13,9.22,"66,424",3.37,1.30,...,...,...,9.22
Aerpio Pharmaceuticals,ARPO,1.76,2.04,1.76,1.99,0.29,17.06,"84,621",5.25,1.56,...,...,...,17.06
AEterna Zentaris,AEZS,2.98,3.03,2.85,3.03,0.09,3.06,"83,602",3.92,1.12,...,...,5.75,3.06
Aethlon Medical,AEMD,1.71,1.71,1.50,1.58,-0.08,-4.82,"227,727",2.04,0.82,...,...,...,-4.82
Agenus,AGEN,2.30,2.56,2.29,2.51,0.13,5.46,"2,079,385",6.19,1.54,...,...,...,5.46
AGM Group Holdings,AGMH,30.75,30.75,30.75,30.75,4.00,14.96,"389",52.00,5.01,...,...,...,14.96
Airgain,AIRG,9.79,10.53,9.63,10.22,0.31,3.13,"33,980",14.17,7.40,...,...,...,3.13
AirMedia Group ADR,AMCN,0.26,0.26,0.25,0.26,0.01,5.54,"156,078",1.50,0.18,...,...,...,5.54
Air T,AIRT,24.50,24.55,22.43,23.80,-0.70,-2.86,"2,944",44.29,22.43,...,...,20.45,-2.86
Akari Therapeutics ADR,AKTX,1.59,1.72,1.59,1.67,0.10,6.05,"35,662",4.48,1.56,...,...,...,6.05
Akers Biosciences,AKER,1.19,1.23,1.10,1.20,0.07,6.19,"383,234",7.84,0.57,...,...,...,6.19
Akoustis Technologies,AKTS,4.90,5.71,4.90,5.60,0.63,12.68,"189,574",9.50,3.40,...,...,...,12.68
Alberton Acquisition Cl A,ALAC,9.73,9.75,9.73,9.75,-0.05,-0.51,"1,260",10.50,9.65,...,...,...,-0.51
Alberton Acquisition WT,ALACW,0.12,0.13,0.10,0.13,0.02,13.04,"1,200",0.20,0.08,...,...,...,13.04
Albireo Pharma,ALBO,24.24,25.22,22.70,24.13,-0.40,-1.63,"37,308",39.87,19.10,...,...,...,-1.63
Aldeyra Therapeutics,ALDX,8.21,8.88,8.09,8.51,0.21,2.53,"162,725",16.70,6.25,...,...,...,2.53
Alithya Group Cl A,ALYA,2.25,2.79,2.25,2.79,0.44,18.72,"59,991",6.00,2.25,...,...,...,18.72
Alkaline Water,WTER,3.03,3.16,2.80,2.95,-0.14,-4.53,"194,217",5.56,2.79,...,...,...,-4.53
Allegro Merger,ALGR,9.82,9.85,9.75,9.76,0.01,0.10,"8,431",9.85,9.02,...,...,...,0.10
Allegro Merger WT,ALGRW,0.30,0.30,0.30,0.30,...,...,"300",1.00,0.24,...,...,...,...
Alliance MMA,AMMA,0.17,0.20,0.16,0.19,0.02,14.33,"1,196,150",1.54,0.13,...,...,...,14.33
Allied Healthcare Products,AHPI,1.70,1.77,1.70,1.77,-0.06,-3.11,"615",5.25,1.62,...,...,...,-3.11
Alliqua BioMedical,ALQA,1.81,2.05,1.81,1.99,0.12,6.42,"52,433",5.24,1.55,...,...,...,6.42
Alta Mesa Resources,AMR,1.00,1.16,0.98,1.11,0.11,11.00,"1,141,283",10.79,0.75,...,...,...,11.00
Alta Mesa Resources WT,AMRWW,0.09,0.09,0.07,0.07,...,4.85,"350,553",2.85,0.05,...,...,...,4.85
Altus Midstream,ALTM,7.62,8.16,7.37,7.66,-0.07,-0.91,"114,047",10.48,7.33,...,...,...,-0.91
AMCI Acquisition,AMCIU,9.95,9.95,9.95,9.95,...,...,"100",10.02,9.94,...,...,...,...
American Electric Technologies,AETI,0.85,0.87,0.81,0.84,-0.03,-3.22,"121,767",2.53,0.40,...,...,...,-3.22
Ameri Holdings,AMRH,0.17,0.19,0.16,0.18,0.01,5.50,"526,654",13.50,0.15,...,...,...,5.50
Ames National,ATLO,25.44,26.20,25.02,25.98,0.56,2.20,"10,819",32.15,24.51,0.92,3.54,15.65,2.20
Anavex Life Sciences,AVXL,1.48,1.97,1.48,1.68,0.12,7.69,"529,484",4.35,1.25,...,...,...,7.69
Anixa Biosciences,ANIX,3.95,4.00,3.93,3.95,0.01,0.25,"53,672",6.86,2.32,...,...,...,0.25
Antares Pharma,ATRS,2.74,2.87,2.71,2.84,0.12,4.41,"983,776",3.93,1.85,...,...,...,4.41
Apollo Medical Holdings,AMEH,19.51,20.17,18.77,19.56,-0.29,-1.46,"16,120",30.00,13.01,...,...,12.72,-1.46
Appliance Recycling Centers of America,ARCI,0.44,0.46,0.44,0.46,0.01,3.21,"22,810",1.68,0.36,...,...,0.86,3.21
Applied DNA Sciences,APDN,0.39,0.42,0.35,0.42,0.02,6.22,"180,471",1.84,0.30,...,...,...,6.22
Applied DNA Sciences WT,APDNW,0.01,0.01,...,...,...,2.50,"1,074",0.40,...,...,...,...,2.50
Apricus Biosciences,APRI,0.20,0.25,0.19,0.24,0.05,25.94,"1,264,777",3.34,0.18,...,...,...,25.94
Aptose Biosciences,APTO,1.88,2.27,1.88,2.20,0.29,15.18,"455,299",4.55,1.78,...,...,...,15.18
AquaBounty Technologies,AQB,2.11,2.39,2.11,2.39,0.34,16.59,"29,280",8.06,1.51,...,...,...,16.59
Aqua Metals,AQMS,1.82,1.92,1.79,1.85,0.03,1.65,"177,962",4.22,1.42,...,...,...,1.65
Aradigm,ARDM,0.33,0.38,0.33,0.37,0.05,15.63,"99,429",6.88,0.29,...,...,...,15.63
ARCA biopharma,ABIO,0.31,0.35,0.31,0.33,-0.00,-1.05,"130,515",1.95,0.26,...,...,...,-1.05
