Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,13.15,13.60,12.60,12.70,-0.40,-3.05,"663,803",22.75,7.01,...,...,...,-19.87
Ability,ABIL,4.49,4.56,4.38,4.40,0.02,0.57,"25,295",14.55,2.14,...,...,...,0.11
Abraxas Petroleum,AXAS,2.70,2.74,2.65,2.72,0.03,1.12,"1,046,515",3.27,1.52,...,...,36.12,10.57
Acasti Pharma,ACST,0.60,0.60,0.55,0.56,-0.01,-1.95,"51,364",3.36,0.53,...,...,...,-40.72
Accelerate Diagnostics,AXDX,20.90,21.85,20.90,21.23,0.28,1.31,"158,229",30.35,16.75,...,...,...,-18.99
Acer Therapeutics,ACER,20.05,20.47,20.00,20.00,-0.18,-0.89,"4,199",27.80,7.35,...,...,...,44.41
Achieve Life Sciences,ACHV,3.37,3.39,3.26,3.31,-0.05,-1.49,"60,399",52.68,3.21,...,...,...,-75.36
ACNB,ACNB,34.55,35.25,34.55,34.60,-0.20,-0.57,"12,786",36.00,24.45,0.92,2.66,19.45,17.09
Adamis Pharmaceuticals,ADMP,3.75,3.79,3.70,3.75,...,...,"125,456",5.85,2.35,...,...,...,-14.77
Adesto Technologies,IOTS,6.00,6.10,5.85,5.85,-0.20,-3.31,"453,949",10.80,4.25,...,...,...,-9.30
ADMA Biologics,ADMA,4.93,5.04,4.90,4.94,...,...,"169,677",5.70,2.01,...,...,...,53.89
ADOMANI,ADOM,0.73,0.75,0.67,0.70,...,...,"748,368",13.81,0.50,...,...,...,-84.09
Advanced Micro Devices,AMD,16.30,16.39,15.72,16.05,-0.14,-0.86,"66,300,329",17.34,9.04,...,...,84.47,56.13
Aehr Test Systems,AEHR,2.55,2.57,2.44,2.53,-0.02,-0.78,"116,734",4.33,2.12,...,...,...,-6.64
Aerpio Pharmaceuticals,ARPO,4.23,4.25,4.16,4.20,0.02,0.48,"85,586",6.75,3.29,...,...,...,-11.58
AEterna Zentaris,AEZS,1.86,1.88,1.84,1.86,-0.02,-1.28,"32,826",3.25,1.12,...,...,37.10,-21.40
Aethlon Medical,AEMD,1.29,1.30,1.28,1.29,...,...,"24,830",3.85,0.79,...,...,...,14.16
Agenus,AGEN,1.94,1.97,1.86,1.87,-0.07,-3.61,"996,109",6.19,1.85,...,...,...,-42.64
AGM Group Holdings,AGMH,13.57,13.99,13.51,13.99,0.49,3.62,"2,271",37.63,5.01,...,...,...,...
Airgain,AIRG,10.27,10.59,10.08,10.29,-0.05,-0.48,"45,477",13.85,7.31,...,...,...,14.46
Air T,AIRT,34.15,34.77,32.71,34.40,0.55,1.62,"3,919",35.08,14.90,...,...,30.99,39.32
Akari Therapeutics ADR,AKTX,2.05,2.11,2.05,2.10,...,...,"6,797",11.95,1.70,...,...,...,-51.50
Akers Biosciences,AKER,0.36,0.36,0.33,0.35,-0.01,-3.18,"1,618,393",1.82,0.12,...,...,...,161.57
Akoustis Technologies,AKTS,8.64,8.90,8.39,8.81,0.17,1.97,"72,997",9.50,4.86,...,...,...,41.41
Albireo Pharma,ALBO,32.35,32.93,31.76,32.10,-0.31,-0.96,"28,160",39.87,20.25,...,...,...,25.39
Aldeyra Therapeutics,ALDX,7.50,7.65,7.20,7.35,-0.20,-2.65,"126,127",11.90,3.90,...,...,...,8.09
Allegro Merger,ALGRU,10.18,10.19,10.18,10.18,-0.00,-0.01,"17,335",10.20,10.04,...,...,...,...
Alliance MMA,AMMA,0.20,0.21,0.20,0.20,-0.01,-2.68,"155,419",3.07,0.17,...,...,...,-82.76
Allied Healthcare Products,AHPI,2.36,2.42,2.35,2.35,...,...,"25,153",5.25,1.72,...,...,...,12.44
