Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,16.20,17.05,16.00,16.05,-0.47,-2.87,"845,760",22.75,4.55,...,...,...,1.26
Abeona Therapeutics WT,ABEOW,11.75,11.92,11.70,11.92,0.32,2.76,"2,090",17.56,2.50,...,...,...,2.76
Ability,ABIL,2.58,2.62,2.42,2.44,-0.25,-9.29,"22,696",16.90,2.35,...,...,...,-44.55
Abraxas Petroleum,AXAS,2.97,3.06,2.89,2.98,-0.02,-0.67,"1,201,274",3.27,1.45,...,...,39.58,21.14
Acasti Pharma,ACST,0.81,0.81,0.72,0.72,-0.11,-13.25,"1,013,823",3.36,0.60,...,...,...,-23.60
Accelerate Diagnostics,AXDX,21.20,21.50,20.95,21.00,-0.40,-1.87,"168,611",30.45,16.75,...,...,...,-19.85
Acer Therapeutics,ACER,18.74,19.10,18.73,18.80,-0.17,-0.90,"28,537",22.63,5.70,...,...,...,35.74
Achieve Life Sciences,ACHV,1.09,1.09,0.95,1.00,-0.11,-9.91,"293,425",6.27,0.95,...,...,...,-25.56
ACNB,ACNB,31.00,31.60,31.00,31.60,0.45,1.44,"1,966",32.10,24.45,0.92,2.91,17.75,6.94
Adamis Pharmaceuticals,ADMP,4.30,4.59,4.30,4.50,0.15,3.45,"288,119",6.45,2.35,...,...,...,2.27
Adesto Technologies,IOTS,8.30,8.80,8.30,8.75,0.25,2.94,"145,478",9.95,4.00,...,...,...,35.66
ADMA Biologics,ADMA,5.35,5.51,5.20,5.24,-0.14,-2.60,"51,937",5.70,2.01,...,...,...,63.24
ADOMANI,ADOM,1.40,1.41,1.14,1.25,-0.11,-8.09,"2,288,158",18.31,0.50,...,...,...,-71.59
Advanced Micro Devices,AMD,12.93,13.18,12.90,13.10,0.12,0.92,"44,017,222",15.65,9.04,...,...,68.95,27.43
Advaxis WT,ADXSW,0.31,0.31,0.28,0.31,...,0.38,"7,852",5.18,0.20,...,...,...,-68.50
Aehr Test Systems,AEHR,2.38,2.43,2.36,2.41,0.02,0.88,"50,372",4.83,2.12,...,...,...,-11.03
AEterna Zentaris,AEZS,1.91,2.00,1.89,1.94,0.02,1.07,"121,166",3.29,0.86,...,...,38.81,-17.77
Aethlon Medical,AEMD,1.29,1.30,1.25,1.26,-0.03,-2.33,"86,351",3.85,0.79,...,...,...,11.50
Agenus,AGEN,3.47,3.54,3.43,3.48,...,...,"724,586",6.19,3.06,...,...,...,6.75
AGM Group Holdings,AGMH,8.73,9.25,8.69,9.22,0.42,4.77,"69,967",14.99,5.01,...,...,...,...
Airgain,AIRG,8.41,8.46,8.30,8.43,-0.02,-0.24,"39,043",15.54,7.31,...,...,...,-6.23
Air T,AIRT,31.05,33.80,31.05,32.75,...,...,"1,115",34.83,14.40,...,...,71.20,32.63
Akari Therapeutics ADR,AKTX,1.94,1.94,1.77,1.84,-0.07,-3.66,"34,795",11.95,1.70,...,...,...,-57.51
Akers Biosciences,AKER,0.59,0.63,0.54,0.59,-0.00,-0.75,"6,506,542",1.82,0.12,...,...,...,343.28
Akoustis Technologies,AKTS,6.46,6.74,6.46,6.58,0.10,1.54,"33,399",10.80,4.86,...,...,...,5.62
Albireo Pharma,ALBO,32.80,33.23,32.21,33.13,0.18,0.55,"68,393",39.87,15.31,...,...,...,29.41
Aldeyra Therapeutics,ALDX,8.50,8.75,8.41,8.70,0.05,0.58,"133,255",11.90,3.90,...,...,...,27.94
Alliance MMA,AMMA,0.50,0.54,0.43,0.46,-0.04,-8.00,"714,832",3.07,0.31,...,...,...,-60.34
Allied Healthcare Products,AHPI,2.55,2.55,2.51,2.54,-0.05,-2.01,"8,835",5.25,1.72,...,...,...,21.44
Alliqua BioMedical,ALQA,2.17,2.17,2.08,2.11,0.01,0.48,"15,650",4.60,1.58,...,...,...,16.58
Alta Mesa Resources,AMR,7.40,7.50,7.17,7.37,-0.07,-0.94,"901,166",10.79,6.60,...,...,...,-25.63
Alta Mesa Resources WT,AMRWW,1.54,1.57,1.50,1.57,-0.01,-0.63,"260,756",2.85,1.03,...,...,...,5.37
Amedica,AMDA,1.06,1.24,1.03,1.13,0.06,5.61,"1,518,748",6.93,1.02,...,...,...,-65.44
American Electric Technologies,AETI,0.75,1.00,0.75,0.91,0.16,20.92,"668,829",2.25,0.62,...,...,...,-39.53
Ameri Holdings,AMRH,1.02,1.02,0.93,0.95,-0.09,-8.74,"148,973",13.50,0.93,...,...,...,-69.38
Ames National,ATLO,30.10,30.15,29.57,30.05,0.15,0.50,"4,268",31.90,26.00,0.92,3.06,19.90,7.90
Anavex Life Sciences,AVXL,2.63,2.69,2.61,2.66,0.04,1.53,"190,702",6.27,1.85,...,...,...,-17.39
Antares Pharma,ATRS,2.50,2.58,2.49,2.53,0.03,1.20,"791,135",4.09,1.58,...,...,...,27.14
Anthera Pharmaceuticals,ANTH,0.28,0.28,0.27,0.27,-0.01,-4.07,"401,765",2.97,0.26,...,...,...,-83.58
Apollo Medical Holdings,AMEH,15.00,15.12,14.22,14.61,-0.41,-2.73,"18,275",30.00,5.50,...,...,...,-39.13
Appliance Recycling Centers of America,ARCI,0.79,0.87,0.77,0.82,0.06,7.28,"133,979",1.75,0.52,...,...,1.11,-21.61
Applied DNA Sciences,APDN,1.51,1.52,1.48,1.50,0.01,0.84,"24,934",3.45,0.90,...,...,...,-5.50
Applied DNA Sciences WT,APDNW,0.26,0.27,0.26,0.27,0.01,3.85,"2,500",1.04,0.12,...,...,...,-25.00
Apricus Biosciences,APRI,0.31,0.31,0.29,0.29,-0.01,-3.20,"358,775",3.34,0.25,...,...,...,-84.21
Aptose Biosciences,APTO,3.39,3.47,3.26,3.45,0.05,1.47,"113,333",3.97,1.00,...,...,...,54.02
AquaBounty Technologies,AQB,3.02,3.04,2.90,2.95,-0.11,-3.59,"39,144",9.99,2.25,...,...,...,-16.19
