Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,4.00,4.00,3.80,3.80,-0.05,-1.30,"80,990",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,7.80,8.03,6.94,7.50,-0.17,-2.22,"823,949",22.00,6.94,...,...,...,-52.68
Abeona Therapeutics WT,ABEOW,3.18,3.25,3.18,3.25,-0.42,-11.44,"560",16.00,3.18,...,...,...,-71.98
Ability,ABIL,2.99,3.07,2.91,2.95,0.08,2.79,"21,854",14.55,2.14,...,...,...,-32.95
Abraxas Petroleum,AXAS,1.65,1.70,1.62,1.68,0.06,3.70,"1,079,304",3.27,1.58,...,...,...,-31.71
Acasti Pharma,ACST,0.88,0.88,0.67,0.68,-0.11,-13.97,"1,751,317",3.36,0.43,...,...,...,-27.43
Accelerate Diagnostics,AXDX,15.11,15.12,14.20,14.21,-0.61,-4.12,"261,378",30.35,13.25,...,...,...,-45.76
Acer Therapeutics,ACER,24.40,25.46,24.17,24.60,0.24,0.99,"9,627",34.10,11.36,...,...,...,77.62
Achieve Life Sciences,ACHV,1.85,1.90,1.70,1.75,-0.09,-4.89,"137,601",32.00,1.70,...,...,...,-86.97
ACNB,ACNB,37.97,38.92,37.97,38.30,0.51,1.35,"5,699",41.45,27.30,0.92,2.40,14.20,29.61
Adamis Pharmaceuticals,ADMP,2.60,2.61,2.43,2.50,-0.07,-2.72,"227,606",5.10,2.20,...,...,...,-43.18
Adesto Technologies,IOTS,4.90,5.18,4.82,4.99,0.21,4.39,"353,820",10.80,3.51,...,...,...,-22.64
ADial Pharmaceuticals,ADIL,1.27,1.39,1.11,1.21,-0.06,-4.72,"37,712",4.40,1.11,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.37,0.37,0.37,0.37,-0.13,-26.00,"100",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,5.11,5.13,4.94,5.01,-0.10,-1.96,"124,455",6.96,2.42,...,...,...,56.07
ADOMANI,ADOM,0.53,0.59,0.52,0.55,0.04,7.63,"658,139",6.73,0.35,...,...,...,-87.50
Aehr Test Systems,AEHR,1.89,1.90,1.85,1.86,-0.01,-0.53,"38,999",3.37,1.80,...,...,...,-31.37
Aerpio Pharmaceuticals,ARPO,1.93,2.08,1.88,1.94,-0.06,-3.00,"33,840",5.50,1.85,...,...,...,-59.16
AEterna Zentaris,AEZS,2.40,2.45,2.34,2.43,0.05,2.10,"166,035",3.25,1.12,...,...,4.61,2.97
Aethlon Medical,AEMD,1.20,1.22,1.19,1.21,0.02,1.71,"72,282",2.04,0.82,...,...,...,7.12
Agenus,AGEN,2.01,2.11,1.99,2.06,0.07,3.52,"1,155,183",6.19,1.54,...,...,...,-36.81
AGM Group Holdings,AGMH,20.81,25.49,20.81,24.62,3.47,16.41,"15,788",52.00,5.01,...,...,...,...
