Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.83,3.91,3.65,3.70,-0.16,-4.15,"164,839",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,10.74,10.77,9.66,10.03,-0.74,-6.87,"1,069,510",22.75,9.66,...,...,...,-36.72
Abeona Therapeutics WT,ABEOW,5.30,5.30,5.10,5.27,-0.94,-15.18,"4,610",17.56,5.10,...,...,...,-54.57
Ability,ABIL,3.31,3.38,3.03,3.10,-0.13,-4.02,"43,733",14.55,2.14,...,...,...,-29.55
Abraxas Petroleum,AXAS,2.31,2.33,2.15,2.15,-0.19,-8.12,"1,788,511",3.27,1.86,...,...,...,-12.60
Acasti Pharma,ACST,1.22,1.26,1.10,1.14,-0.10,-8.06,"743,995",3.36,0.43,...,...,...,20.92
Accelerate Diagnostics,AXDX,17.99,18.04,17.24,17.37,-0.63,-3.53,"350,024",30.35,16.75,...,...,...,-33.70
Acer Therapeutics,ACER,28.27,28.97,27.11,27.11,-1.04,-3.69,"13,234",34.10,11.36,...,...,...,95.74
Achieve Life Sciences,ACHV,2.44,2.51,2.25,2.38,-0.07,-2.86,"336,088",38.45,2.25,...,...,...,-82.28
ACNB,ACNB,37.06,37.49,36.25,36.56,-0.47,-1.27,"7,245",41.45,26.80,0.92,2.52,17.33,23.72
Adamis Pharmaceuticals,ADMP,3.03,3.07,2.86,2.90,-0.15,-4.92,"627,907",5.85,2.20,...,...,...,-34.09
Adesto Technologies,IOTS,5.33,5.36,5.00,5.00,-0.37,-6.89,"422,285",10.80,4.70,...,...,...,-22.48
ADial Pharmaceuticals,ADIL,2.88,2.88,2.60,2.60,-0.36,-12.16,"7,245",4.40,2.51,...,...,...,...
ADMA Biologics,ADMA,5.93,5.99,5.64,5.70,-0.24,-4.04,"165,263",6.96,2.01,...,...,...,77.57
ADOMANI,ADOM,0.52,0.54,0.50,0.50,-0.00,-0.24,"342,723",7.20,0.45,...,...,...,-88.64
Advanced Micro Devices,AMD,27.38,27.40,24.91,25.00,-2.24,-8.22,"144,267,553",34.14,9.04,...,...,78.13,143.19
Aehr Test Systems,AEHR,1.80,1.99,1.80,1.87,0.02,1.08,"159,790",3.95,1.80,...,...,...,-31.00
Aerpio Pharmaceuticals,ARPO,2.95,2.96,2.71,2.71,-0.09,-3.21,"53,956",6.50,2.71,...,...,...,-42.95
AEterna Zentaris,AEZS,1.65,1.70,1.65,1.69,0.03,1.81,"50,528",3.25,1.12,...,...,24.14,-28.39
Aethlon Medical,AEMD,1.16,1.18,1.11,1.11,...,...,"52,674",2.04,0.79,...,...,...,-1.77
Agenus,AGEN,1.97,2.03,1.90,1.92,-0.05,-2.54,"1,143,815",6.19,1.55,...,...,...,-41.10
AGM Group Holdings,AGMH,35.00,35.89,32.90,34.67,-0.28,-0.80,"14,585",52.00,5.01,...,...,...,...
Airgain,AIRG,12.66,12.76,12.05,12.11,-0.67,-5.24,"45,584",13.87,7.31,...,...,...,34.71
Air T,AIRT,37.88,38.25,35.68,37.72,-0.17,-0.45,"3,527",38.80,17.26,...,...,18.67,52.76
Akari Therapeutics ADR,AKTX,2.08,2.10,1.92,1.92,-0.19,-9.00,"38,031",8.65,1.70,...,...,...,-55.66
Akers Biosciences,AKER,0.34,0.37,0.32,0.32,-0.03,-9.27,"2,598,853",1.82,0.12,...,...,...,139.70
Akoustis Technologies,AKTS,7.36,7.44,6.05,6.07,-0.53,-8.03,"251,401",9.50,4.86,...,...,...,-2.57
Albireo Pharma,ALBO,30.35,30.35,27.80,27.98,-2.72,-8.86,"36,722",39.87,21.25,...,...,...,9.30
Aldeyra Therapeutics,ALDX,12.69,12.90,11.83,12.15,-0.60,-4.71,"378,386",16.70,5.55,...,...,...,78.68
Allegro Merger,ALGRU,10.28,10.29,10.10,10.27,-0.03,-0.29,"7,031",10.40,10.04,...,...,...,...
Allegro Merger,ALGR,9.57,9.57,9.57,9.57,0.01,0.10,"27,500",9.60,9.02,...,...,...,...
Allegro Merger WT,ALGRW,0.42,0.42,0.40,0.41,0.01,2.50,"21,100",0.50,0.28,...,...,...,...
Alliance MMA,AMMA,0.29,0.32,0.29,0.30,-0.03,-9.09,"406,784",2.38,0.15,...,...,...,-74.14
Allied Healthcare Products,AHPI,2.19,2.20,2.17,2.17,0.05,2.36,"3,487",5.25,1.72,...,...,...,3.83
Alliqua BioMedical,ALQA,2.15,2.20,2.14,2.14,-0.01,-0.47,"6,557",3.85,1.58,...,...,...,18.23
Alta Mesa Resources,AMR,4.18,4.26,3.88,3.90,-0.28,-6.70,"1,368,033",10.79,3.76,...,...,...,-60.65
Alta Mesa Resources WT,AMRWW,0.48,0.49,0.43,0.47,-0.03,-5.62,"235,370",2.85,0.40,...,...,...,-68.46
Amedica,AMDA,0.26,0.28,0.25,0.26,-0.01,-3.67,"698,214",6.93,0.18,...,...,...,-92.05
